FID,Id,Lat,Long,Lat_m,Lon_m
0,0,54.6086998,-5.4821501,6054080,339696
1,0,54.5937004,-5.4500198,6052340,341712
2,0,54.591301,-5.42242,6052010,343485
3,0,54.4431,-5.40101,6035480,344306
4,0,54.4249992,-5.3643599,6033380,346614
5,0,54.3907013,-5.3410401,6029520,348000
6,0,54.3728981,-5.4124298,6027690,343298
7,0,54.4273987,-5.3955302,6033720,344601
8,0,54.6292,-5.4264698,6056230,343370
9,0,54.4733009,-5.3888698,6038810,345207
10,0,54.3894997,-5.3550801,6029420,347084
11,0,54.5578003,-5.3803101,6048190,346080
